,Variable 1,Variable 2,Silhouette Score
6369,G4-4  R_cut = 8,G4-3  R_cut = 11,0.6948428999440333
6999,G4-5  R_cut = 9,G5-3  R_cut = 11,0.6948428999440333
6363,G4-4  R_cut = 8,G5-3  R_cut = 10,0.6948428999440333
6358,G4-4  R_cut = 8,G4-4  R_cut = 10,0.6948428999440333
7005,G4-5  R_cut = 9,G4-3  R_cut = 12,0.6948428999440333
6357,G4-4  R_cut = 8,G4-3  R_cut = 10,0.6948428999440333
6328,G4-3  R_cut = 8,G4-5  R_cut = 12,0.6948428999440333
6327,G4-3  R_cut = 8,G4-4  R_cut = 12,0.6948428999440333
7164,G5-3  R_cut = 9,G4-4  R_cut = 12,0.6948428999440333
7218,G5-5  R_cut = 9,G5-3  R_cut = 10,0.6948428999440333
7206,G5-4  R_cut = 9,G5-3  R_cut = 12,0.6948428999440333
6286,G4-3  R_cut = 8,G5-5  R_cut = 8,0.6948428999440333
6285,G4-3  R_cut = 8,G5-4  R_cut = 8,0.6948428999440333
7212,G5-5  R_cut = 9,G4-3  R_cut = 10,0.6948428999440333
6280,G4-3  R_cut = 8,G4-5  R_cut = 8,0.6948428999440333
6279,G4-3  R_cut = 8,G4-4  R_cut = 8,0.6948428999440333
6649,G5-3  R_cut = 8,G5-5  R_cut = 12,0.6948428999440333
7200,G5-4  R_cut = 9,G4-3  R_cut = 12,0.6948428999440333
7224,G5-5  R_cut = 9,G4-3  R_cut = 11,0.6948428999440333
7230,G5-5  R_cut = 9,G5-3  R_cut = 11,0.6948428999440333
7236,G5-5  R_cut = 9,G4-3  R_cut = 12,0.6948428999440333
7242,G5-5  R_cut = 9,G5-3  R_cut = 12,0.6948428999440333
7347,G4-3  R_cut = 10,G4-4  R_cut = 10,0.6948428999440333
7348,G4-3  R_cut = 10,G4-5  R_cut = 10,0.6948428999440333
6291,G4-3  R_cut = 8,G4-4  R_cut = 9,0.6948428999440333
6297,G4-3  R_cut = 8,G5-4  R_cut = 9,0.6948428999440333
7165,G5-3  R_cut = 9,G4-5  R_cut = 12,0.6948428999440333
6315,G4-3  R_cut = 8,G4-4  R_cut = 11,0.6948428999440333
7169,G5-3  R_cut = 9,G5-3  R_cut = 12,0.6948428999440333
7170,G5-3  R_cut = 9,G5-4  R_cut = 12,0.6948428999440333
6321,G4-3  R_cut = 8,G5-4  R_cut = 11,0.6948428999440333
7171,G5-3  R_cut = 9,G5-5  R_cut = 12,0.6948428999440333
6316,G4-3  R_cut = 8,G4-5  R_cut = 11,0.6948428999440333
7176,G5-4  R_cut = 9,G4-3  R_cut = 10,0.6948428999440333
7182,G5-4  R_cut = 9,G5-3  R_cut = 10,0.6948428999440333
7194,G5-4  R_cut = 9,G5-3  R_cut = 11,0.6948428999440333
6310,G4-3  R_cut = 8,G5-5  R_cut = 10,0.6948428999440333
6309,G4-3  R_cut = 8,G5-4  R_cut = 10,0.6948428999440333
7188,G5-4  R_cut = 9,G4-3  R_cut = 11,0.6948428999440333
6304,G4-3  R_cut = 8,G4-5  R_cut = 10,0.6948428999440333
6303,G4-3  R_cut = 8,G4-4  R_cut = 10,0.6948428999440333
6298,G4-3  R_cut = 8,G5-5  R_cut = 9,0.6948428999440333
6975,G4-5  R_cut = 9,G5-3  R_cut = 9,0.6948428999440333
6393,G4-5  R_cut = 8,G5-3  R_cut = 8,0.6948428999440333
6969,G4-4  R_cut = 9,G5-3  R_cut = 12,0.6948428999440333
6618,G5-3  R_cut = 8,G4-4  R_cut = 10,0.6948428999440333
6630,G5-3  R_cut = 8,G4-4  R_cut = 11,0.6948428999440333
6625,G5-3  R_cut = 8,G5-5  R_cut = 10,0.6948428999440333
6708,G5-5  R_cut = 8,G5-3  R_cut = 9,0.6948428999440333
6624,G5-3  R_cut = 8,G5-4  R_cut = 10,0.6948428999440333
6623,G5-3  R_cut = 8,G5-3  R_cut = 10,0.6948428999440333
6619,G5-3  R_cut = 8,G4-5  R_cut = 10,0.6948428999440333
6613,G5-3  R_cut = 8,G5-5  R_cut = 9,0.6948428999440333
6631,G5-3  R_cut = 8,G4-5  R_cut = 11,0.6948428999440333
6720,G5-5  R_cut = 8,G5-3  R_cut = 10,0.6948428999440333
6612,G5-3  R_cut = 8,G5-4  R_cut = 9,0.6948428999440333
6611,G5-3  R_cut = 8,G5-3  R_cut = 9,0.6948428999440333
6726,G5-5  R_cut = 8,G4-3  R_cut = 11,0.6948428999440333
6607,G5-3  R_cut = 8,G4-5  R_cut = 9,0.6948428999440333
6606,G5-3  R_cut = 8,G4-4  R_cut = 9,0.6948428999440333
6702,G5-5  R_cut = 8,G4-3  R_cut = 9,0.6948428999440333
6696,G5-4  R_cut = 8,G5-3  R_cut = 12,0.6948428999440333
6601,G5-3  R_cut = 8,G5-5  R_cut = 8,0.6948428999440333
6672,G5-4  R_cut = 8,G5-3  R_cut = 10,0.6948428999440333
6648,G5-3  R_cut = 8,G5-4  R_cut = 12,0.6948428999440333
6660,G5-4  R_cut = 8,G5-3  R_cut = 9,0.6948428999440333
6647,G5-3  R_cut = 8,G5-3  R_cut = 12,0.6948428999440333
6666,G5-4  R_cut = 8,G4-3  R_cut = 10,0.6948428999440333
6667,G5-4  R_cut = 8,G4-4  R_cut = 10,0.6948428999440333
6643,G5-3  R_cut = 8,G4-5  R_cut = 12,0.6948428999440333
6673,G5-4  R_cut = 8,G5-4  R_cut = 10,0.6948428999440333
